Date,Labels,Predictions,Epistemic,Aleatoric
2022-01-01 00:00:00,1.6,2.8134985,0.7381587028503418,0.8480272889137268
2022-01-01 01:00:00,1.6,2.1840975,,
2022-01-01 02:00:00,1.6,2.0595205,,
2022-01-01 03:00:00,1.6,2.0370898,,
2022-01-01 04:00:00,1.6,2.0440853,,
2022-01-01 05:00:00,1.6,1.8974259,,
2022-01-01 06:00:00,3.0,1.9072199,,
2022-01-01 07:00:00,3.0,2.141256,,
2022-01-01 08:00:00,3.0,2.2525725,,
2022-01-01 09:00:00,3.0,2.2379625,,
2022-01-01 10:00:00,3.0,2.1265612,,
2022-01-01 11:00:00,3.0,2.155606,,
2022-01-01 12:00:00,1.3,2.4613242,,
2022-01-01 13:00:00,1.3,2.514607,,
2022-01-01 14:00:00,1.3,2.4962287,,
2022-01-01 15:00:00,3.0,2.4552293,,
2022-01-01 16:00:00,3.0,2.6243749,,
2022-01-01 17:00:00,3.0,2.5045626,,
2022-01-01 18:00:00,1.6,2.6435592,,
2022-01-01 19:00:00,1.6,2.655916,,
2022-01-01 20:00:00,1.6,2.7523913,,
2022-01-01 21:00:00,1.3,2.8523555,,
2022-01-01 22:00:00,1.3,2.643746,,
2022-01-01 23:00:00,1.3,2.7009268,,
2022-01-02 00:00:00,1.3,2.5634274,,
2022-01-02 01:00:00,1.3,2.5736377,,
2022-01-02 02:00:00,1.3,2.5003316,,
2022-01-02 03:00:00,1.0,2.3095126,,
2022-01-02 04:00:00,1.0,2.343438,,
2022-01-02 05:00:00,1.0,2.3883648,,
2022-01-02 06:00:00,2.3,2.1986916,,
2022-01-02 07:00:00,2.3,2.3576262,,
2022-01-02 08:00:00,2.3,2.106238,,
2022-01-02 09:00:00,2.3,2.2032704,,
2022-01-02 10:00:00,2.3,2.010308,,
2022-01-02 11:00:00,2.3,2.064024,,
2022-01-02 12:00:00,3.3,1.9814844,,
2022-01-02 13:00:00,3.3,2.1142657,,
2022-01-02 14:00:00,3.3,1.7864666,,
2022-01-02 15:00:00,2.0,1.7704484,,
2022-01-02 16:00:00,2.0,1.8375604,,
2022-01-02 17:00:00,2.0,2.1711457,,
2022-01-02 18:00:00,4.0,2.0258389,,
2022-01-02 19:00:00,4.0,1.6110185,,
2022-01-02 20:00:00,4.0,1.8076718,,
2022-01-02 21:00:00,3.3,2.436664,,
2022-01-02 22:00:00,3.3,2.202207,,
2022-01-02 23:00:00,3.3,2.3982267,,
2022-01-03 00:00:00,3.0,2.6592767,,
2022-01-03 01:00:00,3.0,2.9953494,,
2022-01-03 02:00:00,3.0,2.7865264,,
2022-01-03 03:00:00,2.0,2.7222514,,
2022-01-03 04:00:00,2.0,2.669794,,
2022-01-03 05:00:00,2.0,2.5834606,,
2022-01-03 06:00:00,1.3,2.3040464,,
2022-01-03 07:00:00,1.3,2.1400228,,
2022-01-03 08:00:00,1.3,1.7588797,,
2022-01-03 09:00:00,1.6,1.7186387,,
2022-01-03 10:00:00,1.6,1.5125602,,
2022-01-03 11:00:00,1.6,1.6888679,,
2022-01-03 12:00:00,2.0,1.5717962,,
2022-01-03 13:00:00,2.0,1.6685978,,
2022-01-03 14:00:00,2.0,1.8505541,,
