Date,Labels,Predictions,Epistemic,Aleatoric
2022-01-01 00:00:00,1.6,1.6627405,0.6698547005653381,1.0015009641647339
2022-01-01 01:00:00,1.6,1.7273169,,
2022-01-01 02:00:00,1.6,1.4882709,,
2022-01-01 03:00:00,1.6,1.3925357,,
2022-01-01 04:00:00,1.6,1.6657768,,
2022-01-01 05:00:00,1.6,1.8029823,,
2022-01-01 06:00:00,3.0,1.8041931,,
2022-01-01 07:00:00,3.0,1.6803108,,
2022-01-01 08:00:00,3.0,1.7352037,,
2022-01-01 09:00:00,3.0,2.0802546,,
2022-01-01 10:00:00,3.0,2.1663365,,
2022-01-01 11:00:00,3.0,2.1691823,,
2022-01-01 12:00:00,1.3,2.1182141,,
2022-01-01 13:00:00,1.3,2.2974598,,
2022-01-01 14:00:00,1.3,2.128841,,
2022-01-01 15:00:00,3.0,2.2059746,,
2022-01-01 16:00:00,3.0,2.2415297,,
2022-01-01 17:00:00,3.0,2.3460522,,
2022-01-01 18:00:00,1.6,2.393235,,
2022-01-01 19:00:00,1.6,2.274572,,
2022-01-01 20:00:00,1.6,2.255985,,
2022-01-01 21:00:00,1.3,2.1436164,,
2022-01-01 22:00:00,1.3,2.2159398,,
2022-01-01 23:00:00,1.3,2.1569154,,
2022-01-02 00:00:00,1.3,1.985575,,
2022-01-02 01:00:00,1.3,2.006544,,
2022-01-02 02:00:00,1.3,2.0550466,,
2022-01-02 03:00:00,1.0,1.8790171,,
2022-01-02 04:00:00,1.0,2.0451493,,
2022-01-02 05:00:00,1.0,1.8182943,,
2022-01-02 06:00:00,2.3,1.9472002,,
2022-01-02 07:00:00,2.3,1.7352912,,
2022-01-02 08:00:00,2.3,1.8045218,,
2022-01-02 09:00:00,2.3,1.741679,,
2022-01-02 10:00:00,2.3,1.8658292,,
2022-01-02 11:00:00,2.3,1.4833752,,
2022-01-02 12:00:00,3.3,1.543943,,
2022-01-02 13:00:00,3.3,1.5946498,,
2022-01-02 14:00:00,3.3,1.8516986,,
2022-01-02 15:00:00,2.0,1.6876523,,
2022-01-02 16:00:00,2.0,1.385062,,
2022-01-02 17:00:00,2.0,1.4671894,,
2022-01-02 18:00:00,4.0,2.0823748,,
2022-01-02 19:00:00,4.0,1.8865118,,
2022-01-02 20:00:00,4.0,2.0465436,,
2022-01-02 21:00:00,3.3,2.3110332,,
2022-01-02 22:00:00,3.3,2.525972,,
2022-01-02 23:00:00,3.3,2.3789036,,
2022-01-03 00:00:00,3.0,2.3167706,,
2022-01-03 01:00:00,3.0,2.3190057,,
2022-01-03 02:00:00,3.0,2.2798343,,
2022-01-03 03:00:00,2.0,2.1485233,,
2022-01-03 04:00:00,2.0,1.6803579,,
2022-01-03 05:00:00,2.0,1.1082091,,
2022-01-03 06:00:00,1.3,0.8231989,,
2022-01-03 07:00:00,1.3,0.78219634,,
2022-01-03 08:00:00,1.3,1.2623421,,
2022-01-03 09:00:00,1.6,1.1050582,,
2022-01-03 10:00:00,1.6,1.3126895,,
2022-01-03 11:00:00,1.6,1.6007764,,
2022-01-03 12:00:00,2.0,1.4852922,,
2022-01-03 13:00:00,2.0,1.5384169,,
2022-01-03 14:00:00,2.0,1.3747464,,
2022-01-03 15:00:00,2.3,1.1496083,,
2022-01-03 16:00:00,2.3,1.3471346,,
2022-01-03 17:00:00,2.3,1.4269631,,
2022-01-03 18:00:00,3.0,1.4769636,,
2022-01-03 19:00:00,3.0,1.4179004,,
2022-01-03 20:00:00,3.0,1.4532188,,
2022-01-03 21:00:00,0.6,1.5257589,,
2022-01-03 22:00:00,0.6,1.5548581,,
2022-01-03 23:00:00,0.6,1.4540466,,
2022-01-04 00:00:00,1.3,1.1458441,,
2022-01-04 01:00:00,1.3,1.1875213,,
2022-01-04 02:00:00,1.3,1.2942785,,
2022-01-04 03:00:00,0.6,0.87422466,,
2022-01-04 04:00:00,0.6,0.7991071,,
2022-01-04 05:00:00,0.6,0.80580664,,
2022-01-04 06:00:00,0.0,0.8295352,,
2022-01-04 07:00:00,0.0,1.0102851,,
2022-01-04 08:00:00,0.0,0.9937849,,
2022-01-04 09:00:00,0.3,0.79639626,,
2022-01-04 10:00:00,0.3,0.79532737,,
2022-01-04 11:00:00,0.3,0.7139925,,
2022-01-04 12:00:00,0.3,0.73306817,,
2022-01-04 13:00:00,0.3,0.7337373,,
2022-01-04 14:00:00,0.3,0.7163165,,
