Date,Labels,Predictions,Epistemic,Aleatoric
2022-01-01 00:00:00,1.6,1.7443693,0.6654569506645203,0.9641664028167725
2022-01-01 01:00:00,1.6,1.78846,,
2022-01-01 02:00:00,1.6,1.9360597,,
2022-01-01 03:00:00,1.6,1.5872209,,
2022-01-01 04:00:00,1.6,1.7421182,,
2022-01-01 05:00:00,1.6,2.075992,,
2022-01-01 06:00:00,3.0,2.183073,,
2022-01-01 07:00:00,3.0,2.1812358,,
2022-01-01 08:00:00,3.0,2.0994883,,
2022-01-01 09:00:00,3.0,2.1397097,,
2022-01-01 10:00:00,3.0,2.311021,,
2022-01-01 11:00:00,3.0,2.3245435,,
2022-01-01 12:00:00,1.3,2.2771194,,
2022-01-01 13:00:00,1.3,2.2205286,,
2022-01-01 14:00:00,1.3,2.3587608,,
2022-01-01 15:00:00,3.0,2.1846507,,
2022-01-01 16:00:00,3.0,2.367578,,
2022-01-01 17:00:00,3.0,2.3841803,,
2022-01-01 18:00:00,1.6,2.464667,,
2022-01-01 19:00:00,1.6,2.585897,,
2022-01-01 20:00:00,1.6,2.3236966,,
2022-01-01 21:00:00,1.3,2.3729694,,
2022-01-01 22:00:00,1.3,2.2759848,,
2022-01-01 23:00:00,1.3,2.2695913,,
2022-01-02 00:00:00,1.3,2.1715999,,
2022-01-02 01:00:00,1.3,2.067209,,
2022-01-02 02:00:00,1.3,2.1173563,,
2022-01-02 03:00:00,1.0,2.149033,,
2022-01-02 04:00:00,1.0,2.0258696,,
2022-01-02 05:00:00,1.0,2.1143305,,
2022-01-02 06:00:00,2.3,1.9665867,,
2022-01-02 07:00:00,2.3,1.9795107,,
2022-01-02 08:00:00,2.3,1.8211939,,
2022-01-02 09:00:00,2.3,1.8817323,,
2022-01-02 10:00:00,2.3,1.8213984,,
2022-01-02 11:00:00,2.3,1.9749101,,
2022-01-02 12:00:00,3.3,1.6610647,,
2022-01-02 13:00:00,3.3,1.6838961,,
2022-01-02 14:00:00,3.3,1.7521417,,
2022-01-02 15:00:00,2.0,2.1304452,,
2022-01-02 16:00:00,2.0,1.9052271,,
2022-01-02 17:00:00,2.0,1.5160439,,
2022-01-02 18:00:00,4.0,1.647007,,
2022-01-02 19:00:00,4.0,2.0999389,,
2022-01-02 20:00:00,4.0,1.9461924,,
2022-01-02 21:00:00,3.3,2.065517,,
2022-01-02 22:00:00,3.3,2.3321252,,
2022-01-02 23:00:00,3.3,2.6057954,,
2022-01-03 00:00:00,3.0,2.6262496,,
2022-01-03 01:00:00,3.0,2.6292734,,
2022-01-03 02:00:00,3.0,2.513822,,
2022-01-03 03:00:00,2.0,2.3575377,,
2022-01-03 04:00:00,2.0,2.4089615,,
